"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"5.0","1.0","2024-11-14T00:24:18.663641169Z","2024-11-14T00:24:18.830470687Z","[fog-node-1:UPPER_THRESHOLD]","1","5756"
"1.0","1.0","2024-11-14T00:24:23.678426654Z","2024-11-14T00:24:23.961225222Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:RANKING]","2","649"
"1.0","4.0","2024-11-14T00:24:18.663634809Z","2024-11-14T00:24:18.697707354Z","[fog-node-1:UPPER_THRESHOLD]","1","6037"
"5.0","4.0","2024-11-14T00:24:18.663637220Z","2024-11-14T00:24:18.757802663Z","[fog-node-1:UPPER_THRESHOLD]","1","5990"
"2.0","1.0","2024-11-14T00:24:23.678429908Z","2024-11-14T00:24:24.068598219Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:RANKING]","2","668"
"4.0","4.0","2024-11-14T00:24:18.663635610Z","2024-11-14T00:24:18.715055409Z","[fog-node-1:UPPER_THRESHOLD]","1","6046"
"2.0","1.0","2024-11-14T00:24:23.674522488Z","2024-11-14T00:24:23.727231906Z","[fog-node-1:UPPER_THRESHOLD]","1","1041"
"3.0","4.0","2024-11-14T00:24:08.663377844Z","2024-11-14T00:24:08.791530521Z","[]","0","16007"
"4.0","4.0","2024-11-14T00:24:08.663374588Z","2024-11-14T00:24:08.769864467Z","[]","0","16082"
"3.0","1.0","2024-11-14T00:24:23.678431473Z","2024-11-14T00:24:24.080432645Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:RANKING]","2","801"
"3.0","4.0","2024-11-14T00:24:18.663640381Z","2024-11-14T00:24:18.820211727Z","[fog-node-1:UPPER_THRESHOLD]","1","6111"
"1.0","1.0","2024-11-14T00:24:23.674525108Z","2024-11-14T00:24:23.862678637Z","[fog-node-1:UPPER_THRESHOLD]","1","1099"
"1.0","4.0","2024-11-14T00:24:18.667158357Z","2024-11-14T00:24:18.695176578Z","[fog-node-4:UPPER_THRESHOLD]","1","6273"
"4.0","1.0","2024-11-14T00:24:23.678424772Z","2024-11-14T00:24:23.773135007Z","[fog-node-4:UPPER_THRESHOLD]","1","1427"
"5.0","4.0","2024-11-14T00:24:08.663381172Z","2024-11-14T00:24:08.858930628Z","[]","0","16361"
"2.0","4.0","2024-11-14T00:24:08.663382197Z","2024-11-14T00:24:08.864164438Z","[]","0","16395"
"4.0","4.0","2024-11-14T00:24:18.667162290Z","2024-11-14T00:24:18.753890016Z","[fog-node-4:UPPER_THRESHOLD]","1","6579"
"3.0","4.0","2024-11-14T00:24:13.679845542Z","2024-11-14T00:24:14.019696692Z","[fog-node-4:UPPER_THRESHOLD]","1","11441"
"4.0","1.0","2024-11-14T00:24:23.674525966Z","2024-11-14T00:24:23.902974639Z","[fog-node-1:UPPER_THRESHOLD]","1","1585"
"5.0","1.0","2024-11-14T00:24:23.678433019Z","2024-11-14T00:24:23.942923790Z","[fog-node-4:UPPER_THRESHOLD]","1","1571"
"5.0","1.0","2024-11-14T00:24:23.674526811Z","2024-11-14T00:24:23.945191439Z","[fog-node-1:UPPER_THRESHOLD]","1","1593"
"1.0","4.0","2024-11-14T00:24:13.679842963Z","2024-11-14T00:24:13.964895783Z","[fog-node-4:UPPER_THRESHOLD]","1","11593"
"5.0","4.0","2024-11-14T00:24:13.679844728Z","2024-11-14T00:24:14.008046807Z","[fog-node-4:UPPER_THRESHOLD]","1","11601"
"3.0","4.0","2024-11-14T00:24:18.667164790Z","2024-11-14T00:24:18.829535305Z","[fog-node-4:UPPER_THRESHOLD]","1","6810"
"2.0","4.0","2024-11-14T00:24:18.667167175Z","2024-11-14T00:24:18.871745802Z","[fog-node-4:UPPER_THRESHOLD]","1","6900"
"5.0","4.0","2024-11-14T00:24:18.667166378Z","2024-11-14T00:24:18.858433054Z","[fog-node-4:UPPER_THRESHOLD]","1","6986"
"4.0","4.0","2024-11-14T00:24:13.679846387Z","2024-11-14T00:24:14.035044808Z","[fog-node-4:UPPER_THRESHOLD]","1","11917"
"2.0","4.0","2024-11-14T00:24:13.679847228Z","2024-11-14T00:24:14.051290146Z","[fog-node-4:UPPER_THRESHOLD]","1","11916"
"4.0","4.0","2024-11-14T00:24:08.669748901Z","2024-11-14T00:24:08.837751368Z","[]","0","17126"
"2.0","1.0","2024-11-14T00:24:13.679847999Z","2024-11-14T00:24:14.068014703Z","[fog-node-4:UPPER_THRESHOLD]","1","12112"
"4.0","1.0","2024-11-14T00:24:13.679849598Z","2024-11-14T00:24:14.091774283Z","[fog-node-4:UPPER_THRESHOLD]","1","12161"
"5.0","4.0","2024-11-14T00:24:23.678429085Z","2024-11-14T00:24:23.853097249Z","[fog-node-4:UPPER_THRESHOLD]","1","3717"
"3.0","4.0","2024-11-14T00:24:08.669752151Z","2024-11-14T00:24:08.869494295Z","[]","0","19752"
"5.0","4.0","2024-11-14T00:24:08.669755351Z","2024-11-14T00:24:08.919983459Z","[]","0","19961"
"4.0","4.0","2024-11-14T00:24:13.669243306Z","2024-11-14T00:24:13.679218648Z","[]","0","15283"
"3.0","4.0","2024-11-14T00:24:13.669245860Z","2024-11-14T00:24:13.693035776Z","[]","0","15299"
"5.0","1.0","2024-11-14T00:24:28.674313233Z","2024-11-14T00:24:28.717604432Z","[fog-node-4:UPPER_THRESHOLD]","1","324"
"5.0","1.0","2024-11-14T00:24:13.669252738Z","2024-11-14T00:24:13.851353269Z","[]","0","15182"
"4.0","1.0","2024-11-14T00:24:28.674310621Z","2024-11-14T00:24:28.696692869Z","[fog-node-4:UPPER_THRESHOLD]","1","392"
"3.0","1.0","2024-11-14T00:24:28.681269222Z","2024-11-14T00:24:28.693556222Z","[fog-node-1:UPPER_THRESHOLD]","1","496"
"1.0","4.0","2024-11-14T00:24:23.678427517Z","2024-11-14T00:24:24.055228897Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:RANKING]","2","5210"
