"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"2.0","4.0","2024-11-13T16:15:54.344966657Z","2024-11-13T16:15:54.357323175Z","[]","0","17480"
"5.0","4.0","2024-11-13T16:15:54.344967123Z","2024-11-13T16:15:54.357629351Z","[]","0","17543"
"4.0","4.0","2024-11-13T16:15:54.344968099Z","2024-11-13T16:15:54.358174080Z","[]","0","17608"
"5.0","1.0","2024-11-13T16:16:14.339112908Z","2024-11-13T16:16:14.343826828Z","[fog-node-4:UPPER_THRESHOLD]","1","384"
"4.0","1.0","2024-11-13T16:16:14.339113898Z","2024-11-13T16:16:14.346376979Z","[fog-node-4:UPPER_THRESHOLD]","1","402"
"2.0","1.0","2024-11-13T16:16:14.339275483Z","2024-11-13T16:16:14.351448471Z","[fog-node-1:RANKING]","1","406"
"3.0","1.0","2024-11-13T16:16:14.339272066Z","2024-11-13T16:16:14.343163940Z","[fog-node-1:RANKING]","1","424"
"1.0","1.0","2024-11-13T16:16:14.339274073Z","2024-11-13T16:16:14.349022826Z","[fog-node-1:RANKING]","1","472"
"5.0","1.0","2024-11-13T16:16:14.339273041Z","2024-11-13T16:16:14.341513743Z","[]","0","581"
"4.0","1.0","2024-11-13T16:16:14.339271325Z","2024-11-13T16:16:14.339797065Z","[]","0","585"
"4.0","4.0","2024-11-13T16:16:14.339115400Z","2024-11-13T16:16:14.395814Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:SERVICE_DURATION, fog-node-7:UPPER_THRESHOLD]","3","1869"
"2.0","1.0","2024-11-13T16:15:44.335429200Z","2024-11-13T16:16:14.429426Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD, fog-node-7:RANKING]","3","1904"
"5.0","4.0","2024-11-13T16:16:14.339114948Z","2024-11-13T16:16:14.357388140Z","[fog-node-4:UPPER_THRESHOLD]","1","2262"
"2.0","4.0","2024-11-13T16:16:14.339112201Z","2024-11-13T16:16:14.341532820Z","[fog-node-4:UPPER_THRESHOLD]","1","2313"
"1.0","1.0","2024-11-13T16:16:14.339113500Z","2024-11-13T16:16:14.382151Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:RANKING, fog-node-7:UPPER_THRESHOLD]","3","2487"
