Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 60,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 60
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/13 16:57:00,81063,10250,9667,88800,77162,69176,101587
2024/11/13 16:58:00,81709,10071,9567,95381,73517,71648,110974
2024/11/13 16:59:00,79450,9736,9989,84762,86866,74883,109337
2024/11/13 17:00:00,77116,10560,9715,80285,79269,77016,90748
2024/11/13 17:01:00,81463,9962,9574,82265,81916,77198,103165
2024/11/13 17:02:00,79696,9412,10290,79302,76111,71239,91782
2024/11/13 17:03:00,78094,9940,9906,86296,77849,82486,120612
2024/11/13 17:04:00,79117,11063,9238,75559,76519,75548,115221
2024/11/13 17:05:00,80598,10017,9711,84253,79945,73944,110510
2024/11/13 17:06:00,77892,10156,9741,74628,79271,78094,96949
2024/11/13 17:07:00,81711,9855,9901,83173,67352,77044,107372
2024/11/13 17:08:00,81178,10408,12032,84243,83010,82531,103457
2024/11/13 17:09:00,80855,11108,11066,74620,70794,77535,506335
2024/11/13 17:10:00,83325,10102,10333,79475,65245,76567,572738
2024/11/13 17:11:00,82712,10438,9969,86161,79131,78052,102231
2024/11/13 17:12:00,80162,10411,10317,76195,65877,81815,101644
2024/11/13 17:13:00,81150,25281,10012,84971,82063,78037,117951
2024/11/13 17:14:00,82123,9618,9899,79232,74208,77067,89579
2024/11/13 17:15:00,82277,10081,9508,79357,70309,79624,110913
2024/11/13 17:16:00,84523,10382,9474,80627,70136,80721,88070
2024/11/13 17:17:00,73536,10633,9683,34318,40422,13409,66041
2024/11/13 17:18:00,25054,9592,9649,9907,13910,28880,12347
2024/11/13 17:19:00,13180,10981,9974,9772,12626,12995,11106
