Id,metric_alias_widget_3_0,metric_alias_widget_3_1,metric_alias_widget_3_2,metric_alias_widget_3_3,metric_alias_widget_3_4,metric_alias_widget_3_5,metric_alias_widget_3_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkIn Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkIn Average 300
Label,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn,NetworkIn
2024/11/13 19:00:00,12913.8,13203.4,16390.4,13531.8,12657,12721.6,11404
2024/11/13 19:05:00,44034.6,36027.2,46198.2,40102,51409.8,51675,62059.8
2024/11/13 19:10:00,52066.8,51165.4,53697.2,52320.4,62023.8,60180.8,67338.4
2024/11/13 19:15:00,51327,51321.2,50905.2,52800.2,63910.6,62216,73722
2024/11/13 19:20:00,50151.2,52389.6,52695.2,51757.2,61516.8,62156.6,65392.6
2024/11/13 19:25:00,52053.6,52858.4,54527.4,54991.4,58696.8,64336.4,65092.6
2024/11/13 19:30:00,54963.2,55396.6,52255.2,53227.6,58976.2,63249.6,62130.2
2024/11/13 19:35:00,52373.6,51140.6,52435.8,51999.4,66096.2,60660,70346.4
2024/11/13 19:40:00,52920.8,50634.8,52394.2,51694.2,62017.6,63096.2,65405.4
2024/11/13 19:45:00,52007.6,49988.8,52373,52632,65676,61587.2,67646
2024/11/13 19:50:00,52162.8,49223.2,53638,50672.8,64611,61319.6,65169.4
2024/11/13 19:55:00,50067.4,51589,56316.8,53757.2,62752.2,64373.8,75300
2024/11/13 20:00:00,54299.2,56739.6,50590.6,51748.6,66470.4,65217.6,72846.6
2024/11/13 20:05:00,50616.8,53243.4,50988.4,52267.2,63584.6,61057.2,62313.2
2024/11/13 20:10:00,50957,52893,52376,52693,62000.4,60645.4,68007
2024/11/13 20:15:00,51099.8,52373.6,52618.2,50702.8,62839,63884.6,65888.8
2024/11/13 20:20:00,53714.8,51234.8,55783.4,55132.8,63921.2,64323.8,60294.8
2024/11/13 20:25:00,47878,50442.4,49655.6,48963.2,63054.4,56331.6,63244.8
2024/11/13 20:30:00,13041.4,14267.6,9927.6,10308.4,15761.6,12696.8,11206.6
2024/11/13 20:35:00,9560,9449,9575,10349,13831,12592,11456
