"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"3.0","4.0","2024-11-13T01:35:06.821593616Z","2024-11-13T01:35:06.826843501Z","[fog-node-4:UPPER_THRESHOLD]","1","11220"
"1.0","4.0","2024-11-13T01:35:11.820336894Z","2024-11-13T01:35:11.825869180Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6331"
"1.0","1.0","2024-11-13T01:35:16.822054089Z","2024-11-13T01:35:16.888765135Z","[fog-node-1:UPPER_THRESHOLD]","1","1281"
"2.0","4.0","2024-11-13T01:35:11.820338225Z","2024-11-13T01:35:11.836308087Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6342"
"1.0","4.0","2024-11-13T01:35:06.821593105Z","2024-11-13T01:35:06.825872613Z","[fog-node-4:UPPER_THRESHOLD]","1","11326"
"4.0","1.0","2024-11-13T01:35:11.820341320Z","2024-11-13T01:35:11.845095053Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6498"
"4.0","1.0","2024-11-13T01:35:06.821596786Z","2024-11-13T01:35:06.880088003Z","[fog-node-4:UPPER_THRESHOLD]","1","11527"
"5.0","4.0","2024-11-13T01:35:11.820337740Z","2024-11-13T01:35:11.830423109Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6632"
"2.0","1.0","2024-11-13T01:35:16.822054668Z","2024-11-13T01:35:16.889796245Z","[fog-node-1:UPPER_THRESHOLD]","1","1595"
"5.0","4.0","2024-11-13T01:35:06.821595049Z","2024-11-13T01:35:06.842988492Z","[fog-node-4:UPPER_THRESHOLD]","1","11700"
"5.0","1.0","2024-11-13T01:35:11.820341790Z","2024-11-13T01:35:11.845830204Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6701"
"1.0","4.0","2024-11-13T01:35:11.823726718Z","2024-11-13T01:35:11.832414744Z","[fog-node-1:SERVICE_DURATION]","1","6716"
"2.0","1.0","2024-11-13T01:35:06.821597256Z","2024-11-13T01:35:06.880920531Z","[fog-node-4:UPPER_THRESHOLD]","1","11695"
"4.0","4.0","2024-11-13T01:35:11.823727766Z","2024-11-13T01:35:11.830575124Z","[]","0","6766"
"2.0","4.0","2024-11-13T01:35:06.821596297Z","2024-11-13T01:35:06.878777365Z","[fog-node-4:UPPER_THRESHOLD]","1","11724"
"2.0","4.0","2024-11-13T01:35:11.823727292Z","2024-11-13T01:35:11.830181781Z","[]","0","6795"
"3.0","4.0","2024-11-13T01:35:11.820340247Z","2024-11-13T01:35:11.841706950Z","[fog-node-4:UPPER_THRESHOLD, fog-node-6:UPPER_THRESHOLD]","2","6891"
