Id,metric_alias_widget_1_0,metric_alias_widget_1_1,metric_alias_widget_1_2,metric_alias_widget_1_3,metric_alias_widget_1_4,metric_alias_widget_1_5,metric_alias_widget_1_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 CPUUtilization Average 60,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 CPUUtilization Average 60
Label,CPUUtilization,CPUUtilization,CPUUtilization,CPUUtilization,CPUUtilization,CPUUtilization,CPUUtilization
2024/11/13 01:13:00,5.699905001583306,6.066565557240713,5.616666666666666,5.916765279421324,5.133333333333334,4.150069167819464,4.183333333333334
2024/11/13 01:14:00,5.833430557175952,6.150102501708362,5.8999999999999995,5.733237779370344,5.183333333333334,4.008333333333333,4.083401390023167
2024/11/13 01:15:00,5.5166666666666675,6.016666666666667,5.583333333333334,5.866764446074101,4.95,3.9499999999999997,4.233333333333333
2024/11/13 01:16:00,5.783333333333333,6.149897501708304,10.2,12.583333333333332,5.1499999999999995,9.208179863668938,4.091598473358777
2024/11/13 01:17:00,77.98203363277278,22.127035450590842,46,64.38666666666667,17.908333333333335,41.76569609493492,52.84911918134698
2024/11/13 01:18:00,73.38288971482858,56.78,54.02666666666667,65.64723921267978,43.92926784553591,36.56333333333333,37.08956965232175
2024/11/13 01:19:00,79.91533474442093,48.1,53.81666666666667,61.57269287821464,35.91166666666666,43.39405656760947,34.36776053732438
2024/11/13 01:20:00,79.30965516091935,49.08833333333333,50.22333333333333,61.80166666666666,39.78933684438593,36.66772220462992,41.19735328922149
