"userPriority","servicePriority","firstArrivalAtNode","executedAt","offloadedBy","offloadCount","serviceDuration"
"5.0","4.0","2024-11-14T17:23:46.409839880Z","2024-11-14T17:23:46.423720397Z","[fog-node-4:UPPER_THRESHOLD]","1","3567"
"1.0","1.0","2024-11-14T17:23:51.409952394Z","2024-11-14T17:23:51.414678696Z","[fog-node-1:UPPER_THRESHOLD]","1","410"
"3.0","1.0","2024-11-14T17:23:51.409952847Z","2024-11-14T17:23:51.415340530Z","[fog-node-1:UPPER_THRESHOLD]","1","456"
"4.0","1.0","2024-11-14T17:23:51.409953299Z","2024-11-14T17:23:51.415896737Z","[fog-node-1:UPPER_THRESHOLD]","1","503"
"3.0","1.0","2024-11-14T17:23:51.410071478Z","2024-11-14T17:23:51.410557126Z","[]","0","623"
"1.0","1.0","2024-11-14T17:23:51.410073826Z","2024-11-14T17:23:51.416288899Z","[]","0","622"
"5.0","4.0","2024-11-14T17:23:41.409129063Z","2024-11-14T17:23:41.413232286Z","[]","0","10764"
"3.0","4.0","2024-11-14T17:23:41.409130539Z","2024-11-14T17:23:41.417493097Z","[]","0","10771"
"1.0","4.0","2024-11-14T17:23:41.409129596Z","2024-11-14T17:23:41.414665786Z","[]","0","10841"
"2.0","1.0","2024-11-14T17:23:51.409953754Z","2024-11-14T17:23:51.416502536Z","[fog-node-1:UPPER_THRESHOLD]","1","868"
"5.0","1.0","2024-11-14T17:23:51.409954668Z","2024-11-14T17:23:51.418394865Z","[fog-node-1:UPPER_THRESHOLD]","1","913"
"4.0","1.0","2024-11-14T17:23:51.410074781Z","2024-11-14T17:23:51.417458758Z","[]","0","1273"
"5.0","1.0","2024-11-14T17:23:51.410074305Z","2024-11-14T17:23:51.417170909Z","[]","0","1278"
"5.0","1.0","2024-11-14T17:23:41.409132419Z","2024-11-14T17:23:41.421142768Z","[]","0","11396"
"2.0","1.0","2024-11-14T17:23:41.409132881Z","2024-11-14T17:23:41.421409876Z","[]","0","11401"
"4.0","4.0","2024-11-14T17:23:41.409131001Z","2024-11-14T17:23:41.420275158Z","[]","0","11406"
"2.0","1.0","2024-11-14T17:23:51.410075745Z","2024-11-14T17:23:51.418787327Z","[]","0","1590"
"2.0","4.0","2024-11-14T17:23:41.409131945Z","2024-11-14T17:23:41.420877109Z","[]","0","11659"
"4.0","1.0","2024-11-14T17:23:46.409854858Z","2024-11-14T17:23:46.411573608Z","[]","0","6995"
"1.0","1.0","2024-11-14T17:23:46.409855319Z","2024-11-14T17:23:46.411807434Z","[]","0","7295"
"2.0","1.0","2024-11-14T17:23:46.409855781Z","2024-11-14T17:23:46.412034140Z","[]","0","7624"
"3.0","1.0","2024-11-14T17:23:46.409856248Z","2024-11-14T17:23:46.412263700Z","[]","0","7933"
"5.0","1.0","2024-11-14T17:23:46.409856705Z","2024-11-14T17:23:46.412489394Z","[]","0","8237"
